nv;Datetime;pv_P;pv_Q;pv_Ep;pv_Eq
311;2024-01-04 06:00:00;0.123413012;0;0.031068693;0
312;2024-01-04 06:15:00;0.123383067;0;0.03084951;0
313;2024-01-04 06:30:00;0.122264866;0;0.030705992;0
314;2024-01-04 06:45:00;0.121480887;0;0.030468219;0
315;2024-01-04 07:00:00;0.081680763;0;0.025395206;0
316;2024-01-04 07:15:00;0.05757766;0;0.017407303;0
317;2024-01-04 07:30:00;0.057395044;0;0.014371588;0
318;2024-01-04 07:45:00;0.056482848;0;0.014234737;0
319;2024-01-04 08:00:00;0.056861831;0;0.014168085;0
320;2024-01-04 08:15:00;0.057181962;0;0.014255474;0
321;2024-01-04 08:30:00;0.1319381;0;0.023640008;0
322;2024-01-04 08:45:00;0.124597593;0;0.032066962;0
323;2024-01-04 09:00:00;0.123694066;0;0.031036457;0
324;2024-01-04 09:15:00;0.123940793;0;0.030954357;0
325;2024-01-04 09:30:00;0.124471237;0;0.031051504;0
326;2024-01-04 09:45:00;0.124164972;0;0.031079526;0
327;2024-01-04 10:00:00;0.089002087;0;0.026645882;0
328;2024-01-04 10:15:00;0.057593962;0;0.018324506;0
329;2024-01-04 10:30:00;0.057198928;0;0.014349111;0
330;2024-01-04 10:45:00;0.057447421;0;0.014330794;0
331;2024-01-04 11:00:00;0.057463897;0;0.014363915;0
332;2024-01-04 11:15:00;0.057768599;0;0.014404062;0
333;2024-01-04 11:30:00;0.058083322;0;0.01448149;0
334;2024-01-04 11:45:00;0.087292627;0;0.018171994;0
335;2024-01-04 12:00:00;0.131896229;0;0.027398607;0
336;2024-01-04 12:15:00;0.122527887;0;0.031803015;0
337;2024-01-04 12:30:00;0.122543558;0;0.030633931;0
338;2024-01-04 12:45:00;0.121625542;0;0.030521137;0
339;2024-01-04 13:00:00;0.064712415;0;0.023292245;0
340;2024-01-04 13:15:00;0.056446186;0;0.015144825;0
341;2024-01-04 13:30:00;0.058345986;0;0.014349022;0
342;2024-01-04 13:45:00;0.058626102;0;0.014621511;0
343;2024-01-04 14:00:00;0.057808817;0;0.014554365;0
344;2024-01-04 14:15:00;0.055330665;0;0.014142435;0
345;2024-01-04 14:30:00;0.05541181;0;0.013842809;0
346;2024-01-04 14:45:00;0.056502958;0;0.013989346;0
347;2024-01-04 15:00:00;0.056495132;0;0.014124761;0
348;2024-01-04 15:15:00;0.055909849;0;0.014050623;0
349;2024-01-04 15:30:00;0.056948375;0;0.014107278;0
350;2024-01-04 15:45:00;0.138721458;0;0.024458729;0
351;2024-01-04 16:00:00;0.124766827;0;0.032936036;0
352;2024-01-04 16:15:00;0.120750204;0;0.030689629;0
353;2024-01-04 16:30:00;0.121207076;0;0.03024466;0
354;2024-01-04 16:45:00;0.066260967;0;0.023433505;0
355;2024-01-04 17:00:00;0.057280018;0;0.015442623;0
356;2024-01-04 17:15:00;0.057032754;0;0.014289097;0
357;2024-01-04 17:30:00;0.057520384;0;0.014319142;0
358;2024-01-04 17:45:00;0.057115153;0;0.014329442;0
359;2024-01-04 18:00:00;0.05685851;0;0.014246708;0
360;2024-01-04 18:15:00;0.057557581;0;0.014302011;0
361;2024-01-04 18:30:00;0.057781187;0;0.014417346;0
362;2024-01-04 18:45:00;0.056212869;0;0.014249257;0
363;2024-01-04 19:00:00;0.056496491;0;0.01408867;0
364;2024-01-04 19:15:00;0.055704205;0;0.014025087;0
365;2024-01-04 19:30:00;0.056919106;0;0.014077914;0
366;2024-01-04 19:45:00;0.056544545;0;0.014182956;0
367;2024-01-04 20:00:00;0.056666367;0;0.014151364;0
368;2024-01-04 20:15:00;0.056988518;0;0.014206861;0
369;2024-01-04 20:30:00;0.05657373;0;0.014195281;0
370;2024-01-04 20:45:00;0.056648523;0;0.014152782;0
371;2024-01-04 21:00:00;0.056551585;0;0.014150014;0
372;2024-01-04 21:15:00;0.057059159;0;0.014201343;0
373;2024-01-04 21:30:00;0.056993342;0;0.014256563;0
374;2024-01-04 21:45:00;0.057709575;0;0.014337865;0
375;2024-01-04 22:00:00;0.058659494;0;0.014546134;0
376;2024-01-04 22:15:00;0.057585572;0;0.014530633;0
377;2024-01-04 22:30:00;0.058332556;0;0.014489766;0
378;2024-01-04 22:45:00;0.059662203;0;0.014749345;0
379;2024-01-04 23:00:00;0.059850162;0;0.014939046;0
