;Datetime;sg4_P;sg4_Q
363;2024-01-04 19:00:00;17.11454913;-1.970192474
364;2024-01-04 19:15:00;28.79195063;-0.788432199
365;2024-01-04 19:30:00;28.10042028;-1.062206734
366;2024-01-04 19:45:00;23.8320937;-1.209727559
367;2024-01-04 20:00:00;19.82736274;-1.456535721
368;2024-01-04 20:15:00;8.420680496;-1.069234912
369;2024-01-04 20:30:00;3.778062479;-1.214004571
370;2024-01-04 20:45:00;3.42238067;-0.887805521
371;2024-01-04 21:00:00;3.168997684;-0.875270326
372;2024-01-04 21:15:00;2.937366992;-1.258264837
373;2024-01-04 21:30:00;3.042205369;-0.842945948
374;2024-01-04 21:45:00;4.030941069;-0.756643939
375;2024-01-04 22:00:00;16.38604387;-0.837590369
376;2024-01-04 22:15:00;16.43444064;-0.727470045
377;2024-01-04 22:30:00;16.21658262;-0.710674414
378;2024-01-04 22:45:00;16.21399272;-0.63771786
379;2024-01-04 23:00:00;16.57046498;-0.8004755
380;2024-01-04 23:15:00;17.08028159;-0.487422117
381;2024-01-04 23:30:00;16.4266;-0.570255941
382;2024-01-04 23:45:00;11.63427359;-0.463440041
383;2024-01-05 00:00:00;2.616741332;-0.859791857
384;2024-01-05 00:15:00;2.784435229;-0.93428794
385;2024-01-05 00:30:00;2.232542284;-1.144060154
386;2024-01-05 00:45:00;5.355588236;-1.107862942
387;2024-01-05 01:00:00;15.68286183;-0.642854634
388;2024-01-05 01:15:00;16.01692248;-0.522899598
389;2024-01-05 01:30:00;16.02378496;-0.914160343
390;2024-01-05 01:45:00;16.22907636;-0.620390535
391;2024-01-05 02:00:00;15.92277145;-0.812195451
392;2024-01-05 02:15:00;16.47524635;-0.617787468
393;2024-01-05 02:30:00;16.85209066;-1.169957647
394;2024-01-05 02:45:00;17.8079268;-1.210457294
395;2024-01-05 03:00:00;18.16582262;-0.620241401
396;2024-01-05 03:15:00;20.08813427;-0.666843608
397;2024-01-05 03:30:00;22.25963378;-0.409614106
398;2024-01-05 03:45:00;23.07011238;-1.047995747
399;2024-01-05 04:00:00;23.36677056;-0.901033453
400;2024-01-05 04:15:00;8.588166942;-1.452158048
401;2024-01-05 04:30:00;5.894812798;-1.105527181
402;2024-01-05 04:45:00;6.395302226;-2.249755447
403;2024-01-05 05:00:00;6.455149049;-1.590809334
404;2024-01-05 05:15:00;20.81922065;-0.93186322
405;2024-01-05 05:30:00;23.79779719;-0.942095419
406;2024-01-05 05:45:00;23.13210542;-1.097664514
407;2024-01-05 06:00:00;34.02054802;-0.516724334
408;2024-01-05 06:15:00;50.44064288;-0.131752215
409;2024-01-05 06:30:00;50.57296384;-0.180937016
410;2024-01-05 06:45:00;49.54754347;-0.107472086
411;2024-01-05 07:00:00;50.41717131;-0.20467462
412;2024-01-05 07:15:00;53.53741181;-0.18393963
413;2024-01-05 07:30:00;51.4739001;-0.127907815
414;2024-01-05 07:45:00;64.21580968;0.086882614
415;2024-01-05 08:00:00;62.77960608;-0.080458477
416;2024-01-05 08:15:00;60.86381068;-0.150837654
417;2024-01-05 08:30:00;95.84192709;-0.446630145
418;2024-01-05 08:45:00;99.66258411;-0.448577694
419;2024-01-05 09:00:00;96.92446788;0.036898576
420;2024-01-05 09:15:00;81.13129365;-0.169990908
421;2024-01-05 09:30:00;50.17586119;-0.014436338
422;2024-01-05 09:45:00;49.9859365;-0.041863496
423;2024-01-05 10:00:00;50.22868206;-0.073463168
424;2024-01-05 10:15:00;24.22011443;-0.360527212
425;2024-01-05 10:30:00;19.46618087;-0.271927879
426;2024-01-05 10:45:00;21.83703408;-0.130142497
