;Datetime;pv_P;pv_Q
334;2024-01-04 11:45:00;0.087292627;0
335;2024-01-04 12:00:00;0.131896229;0
336;2024-01-04 12:15:00;0.122527887;0
337;2024-01-04 12:30:00;0.122543558;0
338;2024-01-04 12:45:00;0.121625542;0
339;2024-01-04 13:00:00;0.064712415;0
340;2024-01-04 13:15:00;0.056446186;0
341;2024-01-04 13:30:00;0.058345986;0
342;2024-01-04 13:45:00;0.058626102;0
343;2024-01-04 14:00:00;0.057808817;0
344;2024-01-04 14:15:00;0.055330665;0
345;2024-01-04 14:30:00;0.05541181;0
346;2024-01-04 14:45:00;0.056502958;0
347;2024-01-04 15:00:00;0.056495132;0
348;2024-01-04 15:15:00;0.055909849;0
349;2024-01-04 15:30:00;0.056948375;0
350;2024-01-04 15:45:00;0.138721458;0
351;2024-01-04 16:00:00;0.124766827;0
352;2024-01-04 16:15:00;0.120750204;0
353;2024-01-04 16:30:00;0.121207076;0
354;2024-01-04 16:45:00;0.066260967;0
355;2024-01-04 17:00:00;0.057280018;0
356;2024-01-04 17:15:00;0.057032754;0
357;2024-01-04 17:30:00;0.057520384;0
358;2024-01-04 17:45:00;0.057115153;0
359;2024-01-04 18:00:00;0.05685851;0
360;2024-01-04 18:15:00;0.057557581;0
361;2024-01-04 18:30:00;0.057781187;0
362;2024-01-04 18:45:00;0.056212869;0
363;2024-01-04 19:00:00;0.056496491;0
364;2024-01-04 19:15:00;0.055704205;0
365;2024-01-04 19:30:00;0.056919106;0
366;2024-01-04 19:45:00;0.056544545;0
367;2024-01-04 20:00:00;0.056666367;0
368;2024-01-04 20:15:00;0.056988518;0
369;2024-01-04 20:30:00;0.05657373;0
370;2024-01-04 20:45:00;0.056648523;0
371;2024-01-04 21:00:00;0.056551585;0
372;2024-01-04 21:15:00;0.057059159;0
373;2024-01-04 21:30:00;0.056993342;0
374;2024-01-04 21:45:00;0.057709575;0
375;2024-01-04 22:00:00;0.058659494;0
376;2024-01-04 22:15:00;0.057585572;0
377;2024-01-04 22:30:00;0.058332556;0
378;2024-01-04 22:45:00;0.059662203;0
379;2024-01-04 23:00:00;0.059850162;0
380;2024-01-04 23:15:00;0.059572567;0
381;2024-01-04 23:30:00;0.05966901;0
382;2024-01-04 23:45:00;0.06039783;0
383;2024-01-05 00:00:00;0.060685755;0
384;2024-01-05 00:15:00;0.133088434;0
385;2024-01-05 00:30:00;0.128747523;0
386;2024-01-05 00:45:00;0.126889206;0
387;2024-01-05 01:00:00;0.12558755;0
388;2024-01-05 01:15:00;0.126943815;0
389;2024-01-05 01:30:00;0.12704766;0
390;2024-01-05 01:45:00;0.095837323;0
391;2024-01-05 02:00:00;0.061853082;0
392;2024-01-05 02:15:00;0.060395492;0
393;2024-01-05 02:30:00;0.059978294;0
394;2024-01-05 02:45:00;0.062218888;0
